"X" "pokedex_number" "name" "german_name" "japanese_name" "generation" "status" "species" "type_number" "type_1" "height_m" "weight_kg" "abilities_number" "ability_1" "total_points" "hp" "attack" "defense" "sp_attack" "sp_defense" "speed" "catch_rate" "growth_rate" "egg_type_number" "egg_type_1" "egg_cycles" "against_normal" "against_fire" "against_water" "against_electric" "against_grass" "against_ice" "against_fight" "against_poison" "against_ground" "against_flying" "against_psychic" "against_bug" "against_rock" "against_ghost" "against_dragon" "against_dark" "against_steel" "against_fairy" "nb" "nb1"
"11" 14 11 "Metapod" "Safcon" "<U+30C8><U+30E9><U+30F3><U+30BB><U+30EB> (Transel)" 1 "Normal" "Cocoon Pokémon" 1 "Bug" 0.7 9.9 1 "Shed Skin" 205 50 20 55 25 25 30 120 "Medium Fast" 1 "Bug" 15 1 2 1 1 0.5 1 0.5 1 0.5 2 1 1 2 1 1 1 1 1 4 0
"12" 15 12 "Butterfree" "Smettbo" "<U+30D0><U+30BF><U+30D5><U+30EA><U+30FC> (Butterfree)" 1 "Normal" "Butterfly Pokémon" 2 "Bug" 1.1 32 2 "Compound Eyes" 395 60 45 50 90 80 70 45 "Medium Fast" 1 "Bug" 15 1 2 1 2 0.25 2 0.25 1 0 2 1 0.5 4 1 1 1 1 1 2 0
"13" 16 13 "Weedle" "Hornliu" "<U+30D3><U+30FC><U+30C9><U+30EB> (Beedle)" 1 "Normal" "Hairy Bug Pokémon" 2 "Bug" 0.3 3.2 2 "Shield Dust" 195 40 35 30 20 20 50 255 "Medium Fast" 1 "Bug" 15 1 2 1 1 0.25 1 0.25 0.5 1 2 2 0.5 2 1 1 1 1 0.5 2 0
"14" 17 14 "Kakuna" "Kokuna" "<U+30B3><U+30AF><U+30FC><U+30F3> (Cocoon)" 1 "Normal" "Cocoon Pokémon" 2 "Bug" 0.6 10 1 "Shed Skin" 205 45 25 50 25 25 35 120 "Medium Fast" 1 "Bug" 15 1 2 1 1 0.25 1 0.25 0.5 1 2 2 0.5 2 1 1 1 1 0.5 3 0
"15" 18 15 "Beedrill" "Bibor" "<U+30B9><U+30D4><U+30A2><U+30FC> (Spear)" 1 "Normal" "Poison Bee Pokémon" 2 "Bug" 1 29.5 2 "Swarm" 395 65 90 40 45 80 75 45 "Medium Fast" 1 "Bug" 15 1 2 1 1 0.25 1 0.25 0.5 1 2 2 0.5 2 1 1 1 1 0.5 2 0
"16" 20 16 "Pidgey" "Taubsi" "<U+30DD><U+30C3><U+30DD> (Poppo)" 1 "Normal" "Tiny Bird Pokémon" 2 "Normal" 0.3 1.8 3 "Keen Eye" 251 40 45 40 35 35 56 255 "Medium Slow" 1 "Flying" 15 1 1 1 2 0.5 2 1 1 0 1 1 0.5 2 0 1 1 1 1 1 0
"17" 21 17 "Pidgeotto" "Tauboga" "<U+30D4><U+30B8><U+30E7><U+30F3> (Pigeon)" 1 "Normal" "Bird Pokémon" 2 "Normal" 1.1 30 3 "Keen Eye" 349 63 60 55 50 50 71 120 "Medium Slow" 1 "Flying" 15 1 1 1 2 0.5 2 1 1 0 1 1 0.5 2 0 1 1 1 1 1 0
"18" 22 18 "Pidgeot" "Tauboss" "<U+30D4><U+30B8><U+30E7><U+30C3><U+30C8> (Pigeot)" 1 "Normal" "Bird Pokémon" 2 "Normal" 1.5 39.5 3 "Keen Eye" 479 83 80 75 70 70 101 45 "Medium Slow" 1 "Flying" 15 1 1 1 2 0.5 2 1 1 0 1 1 0.5 2 0 1 1 1 1 1 0
"19" 24 19 "Rattata" "Rattfratz" "<U+30B3><U+30E9><U+30C3><U+30BF> (Koratta)" 1 "Normal" "Mouse Pokémon" 1 "Normal" 0.3 3.5 3 "Run Away" 253 30 56 35 25 35 72 255 "Medium Fast" 1 "Field" 15 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"20" 26 20 "Raticate" "Rattikarl" "<U+30E9><U+30C3><U+30BF> (Ratta)" 1 "Normal" "Mouse Pokémon" 1 "Normal" 0.7 18.5 3 "Run Away" 413 55 81 60 50 70 97 127 "Medium Fast" 1 "Field" 15 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"21" 28 21 "Spearow" "Habitak" "<U+30AA><U+30CB><U+30B9><U+30BA><U+30E1> (Onisuzume)" 1 "Normal" "Tiny Bird Pokémon" 2 "Normal" 0.3 2 2 "Keen Eye" 262 40 60 30 31 31 70 255 "Medium Fast" 1 "Flying" 15 1 1 1 2 0.5 2 1 1 0 1 1 0.5 2 0 1 1 1 1 2 0
"22" 29 22 "Fearow" "Ibitak" "<U+30AA><U+30CB><U+30C9><U+30EA><U+30EB> (Onidrill)" 1 "Normal" "Beak Pokémon" 2 "Normal" 1.2 38 2 "Keen Eye" 442 65 90 65 61 61 100 90 "Medium Fast" 1 "Flying" 15 1 1 1 2 0.5 2 1 1 0 1 1 0.5 2 0 1 1 1 1 2 0
"23" 30 23 "Ekans" "Rettan" "<U+30A2><U+30FC><U+30DC> (Arbo)" 1 "Normal" "Snake Pokémon" 1 "Poison" 2 6.9 3 "Intimidate" 288 35 60 44 40 54 55 255 "Medium Fast" 2 "Dragon" 20 1 1 1 1 0.5 1 0.5 0.5 2 1 2 0.5 1 1 1 1 1 0.5 1 0
"24" 31 24 "Arbok" "Arbok" "<U+30A2><U+30FC><U+30DC><U+30C3><U+30AF> (Arbok)" 1 "Normal" "Cobra Pokémon" 1 "Poison" 3.5 65 3 "Intimidate" 448 60 95 69 65 79 80 90 "Medium Fast" 2 "Dragon" 20 1 1 1 1 0.5 1 0.5 0.5 2 1 2 0.5 1 1 1 1 1 0.5 1 0
"25" 32 25 "Pikachu" "Pikachu" "<U+30D4><U+30AB><U+30C1><U+30E5><U+30A6> (Pikachu)" 1 "Normal" "Mouse Pokémon" 1 "Electric" 0.4 6 2 "Static" 320 35 55 40 50 50 90 190 "Medium Fast" 2 "Fairy" 10 1 1 1 0.5 1 1 1 1 2 0.5 1 1 1 1 1 1 0.5 1 2 0
"26" 34 26 "Raichu" "Raichu" "<U+30E9><U+30A4><U+30C1><U+30E5><U+30A6> (Raichu)" 1 "Normal" "Mouse Pokémon" 1 "Electric" 0.8 30 2 "Static" 485 60 90 55 90 80 110 75 "Medium Fast" 2 "Fairy" 10 1 1 1 0.5 1 1 1 1 2 0.5 1 1 1 1 1 1 0.5 1 2 0
"27" 36 27 "Sandshrew" "Sandan" "<U+30B5><U+30F3><U+30C9> (Sand)" 1 "Normal" "Mouse Pokémon" 1 "Ground" 0.6 12 2 "Sand Veil" 300 50 75 85 20 30 40 255 "Medium Fast" 1 "Field" 20 1 1 2 0 2 2 1 0.5 1 1 1 1 0.5 1 1 1 1 1 3 0
"28" 38 28 "Sandslash" "Sandamer" "<U+30B5><U+30F3><U+30C9><U+30D1><U+30F3> (Sandpan)" 1 "Normal" "Mouse Pokémon" 1 "Ground" 1 29.5 2 "Sand Veil" 450 75 100 110 45 55 65 90 "Medium Fast" 1 "Field" 20 1 1 2 0 2 2 1 0.5 1 1 1 1 0.5 1 1 1 1 1 3 0
"29" 40 29 "Nidoran<U+2640>" "Nidoran<U+2640>" "<U+30CB><U+30C9><U+30E9><U+30F3><U+2640> (Nidoran<U+2640>)" 1 "Normal" "Poison Pin Pokémon" 1 "Poison" 0.4 7 3 "Poison Point" 275 55 47 52 40 40 41 235 "Medium Slow" 2 "Field" 20 1 1 1 1 0.5 1 0.5 0.5 2 1 2 0.5 1 1 1 1 1 0.5 1 0
"30" 41 30 "Nidorina" "Nidorina" "<U+30CB><U+30C9><U+30EA><U+30FC><U+30CA> (Nidorina)" 1 "Normal" "Poison Pin Pokémon" 1 "Poison" 0.8 20 3 "Poison Point" 365 70 62 67 55 55 56 120 "Medium Slow" 1 "Undiscovered" 20 1 1 1 1 0.5 1 0.5 0.5 2 1 2 0.5 1 1 1 1 1 0.5 2 0
"31" 42 31 "Nidoqueen" "Nidoqueen" "<U+30CB><U+30C9><U+30AF><U+30A4><U+30F3> (Nidoqueen)" 1 "Normal" "Drill Pokémon" 2 "Poison" 1.3 60 3 "Poison Point" 505 90 92 87 75 85 76 45 "Medium Slow" 1 "Undiscovered" 20 1 1 2 0 1 2 0.5 0.25 2 1 2 0.5 0.5 1 1 1 1 0.5 1 0
"32" 43 32 "Nidoran<U+2642>" "Nidoran<U+2642>" "<U+30CB><U+30C9><U+30E9><U+30F3><U+2642> (Nidoran<U+2642>)" 1 "Normal" "Poison Pin Pokémon" 1 "Poison" 0.5 9 3 "Poison Point" 273 46 57 40 40 40 50 235 "Medium Slow" 2 "Field" 20 1 1 1 1 0.5 1 0.5 0.5 2 1 2 0.5 1 1 1 1 1 0.5 1 0
"33" 44 33 "Nidorino" "Nidorino" "<U+30CB><U+30C9><U+30EA><U+30FC><U+30CE> (Nidorino)" 1 "Normal" "Poison Pin Pokémon" 1 "Poison" 0.9 19.5 3 "Poison Point" 365 61 72 57 55 55 65 120 "Medium Slow" 2 "Field" 20 1 1 1 1 0.5 1 0.5 0.5 2 1 2 0.5 1 1 1 1 1 0.5 1 0
"34" 45 34 "Nidoking" "Nidoking" "<U+30CB><U+30C9><U+30AD><U+30F3><U+30B0> (Nidoking)" 1 "Normal" "Drill Pokémon" 2 "Poison" 1.4 62 3 "Poison Point" 505 81 102 77 85 75 85 45 "Medium Slow" 2 "Field" 20 1 1 2 0 1 2 0.5 0.25 2 1 2 0.5 0.5 1 1 1 1 0.5 0 0
"35" 46 35 "Clefairy" "Piepi" "<U+30D4><U+30C3><U+30D4> (Pippi)" 1 "Normal" "Fairy Pokémon" 1 "Fairy" 0.6 7.5 3 "Cute Charm" 323 70 45 48 60 65 35 150 "Fast" 1 "Fairy" 10 1 1 1 1 1 1 0.5 2 1 1 1 0.5 1 1 0 0.5 2 1 2 0
"36" 47 36 "Clefable" "Pixi" "<U+30D4><U+30AF><U+30B7><U+30FC> (Pixy)" 1 "Normal" "Fairy Pokémon" 1 "Fairy" 1.3 40 3 "Cute Charm" 483 95 70 73 95 90 60 25 "Fast" 1 "Fairy" 10 1 1 1 1 1 1 0.5 2 1 1 1 0.5 1 1 0 0.5 2 1 2 0
"37" 48 37 "Vulpix" "Vulpix" "<U+30ED><U+30B3><U+30F3> (Rokon)" 1 "Normal" "Fox Pokémon" 1 "Fire" 0.6 9.9 2 "Flash Fire" 299 38 41 40 50 65 65 190 "Medium Fast" 1 "Field" 20 1 0 2 1 0.5 0.5 1 1 2 1 1 0.5 2 1 1 1 0.5 0.5 3 0
"38" 50 38 "Ninetales" "Vulnona" "<U+30AD><U+30E5><U+30A6><U+30B3><U+30F3> (Kyukon)" 1 "Normal" "Fox Pokémon" 1 "Fire" 1.1 19.9 2 "Flash Fire" 505 73 76 75 81 100 100 75 "Medium Fast" 1 "Field" 20 1 0 2 1 0.5 0.5 1 1 2 1 1 0.5 2 1 1 1 0.5 0.5 3 0
"39" 52 39 "Jigglypuff" "Pummeluff" "<U+30D7><U+30EA><U+30F3> (Purin)" 1 "Normal" "Balloon Pokémon" 2 "Normal" 0.5 5.5 3 "Cute Charm" 270 115 45 20 45 25 20 170 "Fast" 1 "Fairy" 10 1 1 1 1 1 1 1 2 1 1 1 0.5 1 0 0 0.5 2 1 1 0
"40" 53 40 "Wigglytuff" "Knuddeluff" "<U+30D7><U+30AF><U+30EA><U+30F3> (Pukurin)" 1 "Normal" "Balloon Pokémon" 2 "Normal" 1 12 3 "Cute Charm" 435 140 70 45 85 50 45 50 "Fast" 1 "Fairy" 10 1 1 1 1 1 1 1 2 1 1 1 0.5 1 0 0 0.5 2 1 1 0
"41" 54 41 "Zubat" "Zubat" "<U+30BA><U+30D0><U+30C3><U+30C8> (Zubat)" 1 "Normal" "Bat Pokémon" 2 "Poison" 0.8 7.5 2 "Inner Focus" 245 40 45 35 30 40 55 255 "Medium Fast" 1 "Flying" 15 1 1 1 2 0.25 2 0.25 0.5 0 1 2 0.25 2 1 1 1 1 0.5 2 0
"42" 55 42 "Golbat" "Golbat" "<U+30B4><U+30EB><U+30D0><U+30C3><U+30C8> (Golbat)" 1 "Normal" "Bat Pokémon" 2 "Poison" 1.6 55 2 "Inner Focus" 455 75 80 70 65 75 90 90 "Medium Fast" 1 "Flying" 15 1 1 1 2 0.25 2 0.25 0.5 0 1 2 0.25 2 1 1 1 1 0.5 2 0
"43" 56 43 "Oddish" "Myrapla" "<U+30CA><U+30BE><U+30CE><U+30AF><U+30B5> (Nazonokusa)" 1 "Normal" "Weed Pokémon" 2 "Grass" 0.5 5.4 2 "Chlorophyll" 320 45 50 55 75 65 30 255 "Medium Slow" 1 "Grass" 20 1 2 0.5 0.5 0.25 2 0.5 1 1 2 2 1 1 1 1 1 1 0.5 2 0
"44" 57 44 "Gloom" "Duflor" "<U+30AF><U+30B5><U+30A4><U+30CF><U+30CA> (Kusaihana)" 1 "Normal" "Weed Pokémon" 2 "Grass" 0.8 8.6 2 "Chlorophyll" 395 60 65 70 85 75 40 120 "Medium Slow" 1 "Grass" 20 1 2 0.5 0.5 0.25 2 0.5 1 1 2 2 1 1 1 1 1 1 0.5 2 0
"45" 58 45 "Vileplume" "Giflor" "<U+30E9><U+30D5><U+30EC><U+30B7><U+30A2> (Ruffresia)" 1 "Normal" "Flower Pokémon" 2 "Grass" 1.2 18.6 2 "Chlorophyll" 490 75 80 85 110 90 50 45 "Medium Slow" 1 "Grass" 20 1 2 0.5 0.5 0.25 2 0.5 1 1 2 2 1 1 1 1 1 1 0.5 2 0
"46" 59 46 "Paras" "Paras" "<U+30D1><U+30E9><U+30B9> (Paras)" 1 "Normal" "Mushroom Pokémon" 2 "Bug" 0.3 5.4 3 "Effect Spore" 285 35 70 55 45 55 25 190 "Medium Fast" 2 "Bug" 20 1 4 0.5 0.5 0.25 2 0.5 2 0.25 4 1 2 2 1 1 1 1 1 0 0
"47" 60 47 "Parasect" "Parasek" "<U+30D1><U+30E9><U+30BB><U+30AF><U+30C8> (Parasect)" 1 "Normal" "Mushroom Pokémon" 2 "Bug" 1 29.5 3 "Effect Spore" 405 60 95 80 60 80 30 75 "Medium Fast" 2 "Bug" 20 1 4 0.5 0.5 0.25 2 0.5 2 0.25 4 1 2 2 1 1 1 1 1 0 0
"48" 61 48 "Venonat" "Bluzuk" "<U+30B3><U+30F3><U+30D1><U+30F3> (Kongpang)" 1 "Normal" "Insect Pokémon" 2 "Bug" 1 30 3 "Compound Eyes" 305 60 55 50 40 55 45 190 "Medium Fast" 1 "Bug" 20 1 2 1 1 0.25 1 0.25 0.5 1 2 2 0.5 2 1 1 1 1 0.5 1 0
"49" 62 49 "Venomoth" "Omot" "<U+30E2><U+30EB><U+30D5><U+30A9><U+30F3> (Morphon)" 1 "Normal" "Poison Moth Pokémon" 2 "Bug" 1.5 12.5 3 "Shield Dust" 450 70 65 60 90 75 90 75 "Medium Fast" 1 "Bug" 20 1 2 1 1 0.25 1 0.25 0.5 1 2 2 0.5 2 1 1 1 1 0.5 1 0
"50" 63 50 "Diglett" "Digda" "<U+30C7><U+30A3><U+30B0><U+30C0> (Digda)" 1 "Normal" "Mole Pokémon" 1 "Ground" 0.2 0.8 3 "Sand Veil" 265 10 55 25 35 45 95 255 "Medium Fast" 1 "Field" 20 1 1 2 0 2 2 1 0.5 1 1 1 1 0.5 1 1 1 1 1 2 0
"51" 65 51 "Dugtrio" "Digdri" "<U+30C0><U+30B0><U+30C8><U+30EA><U+30AA> (Dugtrio)" 1 "Normal" "Mole Pokémon" 1 "Ground" 0.7 33.3 3 "Sand Veil" 425 35 100 50 50 70 120 50 "Medium Fast" 1 "Field" 20 1 1 2 0 2 2 1 0.5 1 1 1 1 0.5 1 1 1 1 1 2 0
"52" 67 52 "Meowth" "Mauzi" "<U+30CB><U+30E3><U+30FC><U+30B9> (Nyarth)" 1 "Normal" "Scratch Cat Pokémon" 1 "Normal" 0.4 4.2 3 "Pickup" 290 40 45 35 40 40 90 255 "Medium Fast" 1 "Field" 20 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"53" 70 53 "Persian" "Snobilikat" "<U+30DA><U+30EB><U+30B7><U+30A2><U+30F3> (Persian)" 1 "Normal" "Classy Cat Pokémon" 1 "Normal" 1 32 3 "Limber" 440 65 70 60 65 65 115 90 "Medium Fast" 1 "Field" 20 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"54" 72 54 "Psyduck" "Enton" "<U+30B3><U+30C0><U+30C3><U+30AF> (Koduck)" 1 "Normal" "Duck Pokémon" 1 "Water" 0.8 19.6 3 "Damp" 320 50 52 48 65 50 55 190 "Medium Fast" 2 "Field" 20 1 0.5 0.5 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 1 0
"55" 73 55 "Golduck" "Entoron" "<U+30B4><U+30EB><U+30C0><U+30C3><U+30AF> (Golduck)" 1 "Normal" "Duck Pokémon" 1 "Water" 1.7 76.6 3 "Damp" 500 80 82 78 95 80 85 75 "Medium Fast" 2 "Field" 20 1 0.5 0.5 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 1 0
"56" 74 56 "Mankey" "Menki" "<U+30DE><U+30F3><U+30AD><U+30FC> (Mankey)" 1 "Normal" "Pig Monkey Pokémon" 1 "Fighting" 0.5 28 3 "Vital Spirit" 305 40 80 35 35 45 70 190 "Medium Fast" 1 "Field" 20 1 1 1 1 1 1 1 1 1 2 2 0.5 0.5 1 1 0.5 1 2 2 0
"57" 75 57 "Primeape" "Rasaff" "<U+30AA><U+30B3><U+30EA><U+30B6><U+30EB> (Okorizaru)" 1 "Normal" "Pig Monkey Pokémon" 1 "Fighting" 1 32 3 "Vital Spirit" 455 65 105 60 60 70 95 75 "Medium Fast" 1 "Field" 20 1 1 1 1 1 1 1 1 1 2 2 0.5 0.5 1 1 0.5 1 2 2 0
"58" 76 58 "Growlithe" "Fukano" "<U+30AC><U+30FC><U+30C7><U+30A3> (Gardie)" 1 "Normal" "Puppy Pokémon" 1 "Fire" 0.7 19 3 "Intimidate" 350 55 70 45 70 50 60 190 "Slow" 1 "Field" 20 1 0.5 2 1 0.5 0.5 1 1 2 1 1 0.5 2 1 1 1 0.5 0.5 2 0
"59" 77 59 "Arcanine" "Arkani" "<U+30A6><U+30A4><U+30F3><U+30C7><U+30A3> (Windie)" 1 "Normal" "Legendary Pokémon" 1 "Fire" 1.9 155 3 "Intimidate" 555 90 110 80 100 80 95 75 "Slow" 1 "Field" 20 1 0.5 2 1 0.5 0.5 1 1 2 1 1 0.5 2 1 1 1 0.5 0.5 2 0
"60" 78 60 "Poliwag" "Quapsel" "<U+30CB><U+30E7><U+30ED><U+30E2> (Nyoromo)" 1 "Normal" "Tadpole Pokémon" 1 "Water" 0.6 12.4 3 "Water Absorb" 300 40 50 40 40 40 90 255 "Medium Slow" 1 "Water 1" 20 1 0.5 0 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 2 0
"61" 79 61 "Poliwhirl" "Quaputzi" "<U+30CB><U+30E7><U+30ED><U+30BE> (Nyorozo)" 1 "Normal" "Tadpole Pokémon" 1 "Water" 1 20 3 "Water Absorb" 385 65 65 65 50 50 90 120 "Medium Slow" 1 "Water 1" 20 1 0.5 0 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 2 0
"62" 80 62 "Poliwrath" "Quappo" "<U+30CB><U+30E7><U+30ED><U+30DC><U+30F3> (Nyorobon)" 1 "Normal" "Tadpole Pokémon" 2 "Water" 1.3 54 3 "Water Absorb" 510 90 95 95 70 90 70 45 "Medium Slow" 1 "Water 1" 20 1 0.5 0 2 2 0.5 1 1 1 2 2 0.5 0.5 1 1 0.5 0.5 2 1 0
"63" 81 63 "Abra" "Abra" "<U+30B1><U+30FC><U+30B7><U+30A3> (Casey)" 1 "Normal" "Psi Pokémon" 1 "Psychic" 0.9 19.5 3 "Synchronize" 310 25 20 15 105 55 90 200 "Medium Slow" 1 "Human-Like" 20 1 1 1 1 1 1 0.5 1 1 1 0.5 2 1 2 1 2 1 1 2 0
"64" 82 64 "Kadabra" "Kadabra" "<U+30E6><U+30F3><U+30B2><U+30E9><U+30FC> (Yungerer)" 1 "Normal" "Psi Pokémon" 1 "Psychic" 1.3 56.5 3 "Synchronize" 400 40 35 30 120 70 105 100 "Medium Slow" 1 "Human-Like" 20 1 1 1 1 1 1 0.5 1 1 1 0.5 2 1 2 1 2 1 1 2 0
"65" 83 65 "Alakazam" "Simsala" "<U+30D5><U+30FC><U+30C7><U+30A3><U+30F3> (Foodin)" 1 "Normal" "Psi Pokémon" 1 "Psychic" 1.5 48 3 "Synchronize" 500 55 50 45 135 95 120 50 "Medium Slow" 1 "Human-Like" 20 1 1 1 1 1 1 0.5 1 1 1 0.5 2 1 2 1 2 1 1 2 0
"66" 85 66 "Machop" "Machollo" "<U+30EF><U+30F3><U+30EA><U+30AD><U+30FC> (Wanriky)" 1 "Normal" "Superpower Pokémon" 1 "Fighting" 0.8 19.5 3 "Guts" 305 70 80 50 35 35 35 180 "Medium Slow" 1 "Human-Like" 20 1 1 1 1 1 1 1 1 1 2 2 0.5 0.5 1 1 0.5 1 2 2 0
"67" 86 67 "Machoke" "Maschock" "<U+30B4><U+30FC><U+30EA><U+30AD><U+30FC> (Goriky)" 1 "Normal" "Superpower Pokémon" 1 "Fighting" 1.5 70.5 3 "Guts" 405 80 100 70 50 60 45 90 "Medium Slow" 1 "Human-Like" 20 1 1 1 1 1 1 1 1 1 2 2 0.5 0.5 1 1 0.5 1 2 2 0
"68" 87 68 "Machamp" "Machomei" "<U+30AB><U+30A4><U+30EA><U+30AD><U+30FC> (Kairiky)" 1 "Normal" "Superpower Pokémon" 1 "Fighting" 1.6 130 3 "Guts" 505 90 130 80 65 85 55 45 "Medium Slow" 1 "Human-Like" 20 1 1 1 1 1 1 1 1 1 2 2 0.5 0.5 1 1 0.5 1 2 2 0
"69" 88 69 "Bellsprout" "Knofensa" "<U+30DE><U+30C0><U+30C4><U+30DC><U+30DF> (Madatsubomi)" 1 "Normal" "Flower Pokémon" 2 "Grass" 0.7 4 2 "Chlorophyll" 300 50 75 35 70 30 40 255 "Medium Slow" 1 "Grass" 20 1 2 0.5 0.5 0.25 2 0.5 1 1 2 2 1 1 1 1 1 1 0.5 2 0
"70" 89 70 "Weepinbell" "Ultrigaria" "<U+30A6><U+30C4><U+30C9><U+30F3> (Utsudon)" 1 "Normal" "Flycatcher Pokémon" 2 "Grass" 1 6.4 2 "Chlorophyll" 390 65 90 50 85 45 55 120 "Medium Slow" 1 "Grass" 20 1 2 0.5 0.5 0.25 2 0.5 1 1 2 2 1 1 1 1 1 1 0.5 2 0
"71" 90 71 "Victreebel" "Sarzenia" "<U+30A6><U+30C4><U+30DC><U+30C3><U+30C8> (Utsubot)" 1 "Normal" "Flycatcher Pokémon" 2 "Grass" 1.7 15.5 2 "Chlorophyll" 490 80 105 65 100 70 70 45 "Medium Slow" 1 "Grass" 20 1 2 0.5 0.5 0.25 2 0.5 1 1 2 2 1 1 1 1 1 1 0.5 2 0
"72" 91 72 "Tentacool" "Tentacha" "<U+30E1><U+30CE><U+30AF><U+30E9><U+30B2> (Menokurage)" 1 "Normal" "Jellyfish Pokémon" 2 "Water" 0.9 45.5 3 "Clear Body" 335 40 40 35 50 100 70 190 "Slow" 1 "Water 3" 20 1 0.5 0.5 2 1 0.5 0.5 0.5 2 1 2 0.5 1 1 1 1 0.5 0.5 1 0
